id,title,pagecount,genre,authorid,pubid
1,It,1138,Horror,10,100
2,Hamlet,500,Tragedy,13,103
3,I Know Why the Caged Bird Sings,304,Autobiographical,14,102
4,A Suitable Boy,1349,Drama/Romance,15,103
5,The Joy Luck Club,288,Drama,16,104
6,Like Water for Chocolate,256,Romance/Tragedy,17,105
7,Tita's Diary,294,Romance/Diary,17,
8,From Heaven Lake,464,Travel,15,102
9,Kite Runner,371,Historical/Drama,18,106
10,The Vanishing Half,352,Historical/Drama,19,106
11,September Love,224,Romance,20,107
12,The Nickel Boys,224,Historical,21,108
13,The Alchemist,163,Fantasy/Adventure,22,103
14,Love and Misadventure,176,Romance,20,107
